period,social_class,surname_type,surname,gender,name_category,name,meaning,frequency,generation_preference
南北朝,门阀士族,五姓七望,韦,男,文雅,长治,文雅英彦,high,all
南北朝,门阀士族,五姓七望,韦,男,武勇,建勋,建立文章,medium,adult
南北朝,门阀士族,五姓七望,韦,女,文雅,懿之,清秀雅致,medium,all
南北朝,门阀士族,五姓七望,韦,女,文雅,凝怡,温婉仪态,medium,all
南北朝,门阀士族,五姓七望,韦,女,美德,爻女,温婉清雅,high,all
南北朝,庶族,大族,李,男,文雅,明德,光明德行,high,all
南北朝,庶族,大族,李,男,文雅,文博,文采博学,high,all
南北朝,庶族,大族,李,男,武勇,建业,建立基业,medium,adult
南北朝,庶族,大族,李,男,品德,佛保,仁爱正义,high,elder
南北朝,庶族,大族,李,女,美德,淑贤,淑德贤良,high,all
南北朝,庶族,大族,李,女,美德,婉容,温婉容貌,high,all
南北朝,庶族,大族,李,女,才华,诗韵,诗意韵味,medium,adult
南北朝,庶族,大族,张,男,文雅,文渊,文学渊博,high,all
南北朝,庶族,大族,张,男,武勇,威烈,威武刚烈,medium,adult
南北朝,庶族,大族,张,男,品德,文远,忠诚厚道,high,elder
南北朝,庶族,大族,张,女,美德,淑华,淑德华美,high,all
南北朝,庶族,大族,张,女,才华,琴心,琴韵之心,medium,adult
南北朝,庶族,大族,刘,男,文雅,文昭,文采昭彰,high,all
南北朝,庶族,大族,刘,男,武勇,建威,建立威名,medium,adult
南北朝,庶族,大族,刘,男,品德,德润,德泽润物,high,elder
南北朝,庶族,大族,刘,女,美德,淑宁,淑德安宁,high,all
南北朝,庶族,大族,刘,女,才华,书香,书卷香气,medium,adult
南北朝,庶族,大族,柳,女,美德,君柔,淑德安宁,high,all
南北朝,庶族,大族,柳,男,才华,君羡,书卷香气,medium,adult
南北朝,庶族,大族,阎,男,美德,立本,淑德安宁,high,all
南北朝,庶族,大族,阎,女,才华,虞昭,书卷香气,medium,adult
南北朝,庶族,大族,梁,男,技艺,邝之,匠人才能,high,adult
南北朝,庶族,大族,梁,男,技艺,世荣,工艺能手,high,adult
南北朝,庶族,大族,梁,女,巧慧,弘雅,巧手织锦,high,all
南北朝,庶族,大族,沈,男,技艺,乔华,匠人才能,high,adult
南北朝,庶族,大族,沈,男,技艺,豫之,工艺能手,high,adult
南北朝,庶族,大族,孔,男,技艺,乔华,匠人才能,high,adult
南北朝,庶族,大族,孔,女,技艺,豫之,工艺能手,high,adult
南北朝,庶族,大族,韩,男,技艺,乔华,匠人才能,high,adult
南北朝,庶族,大族,韩,女,技艺,豫之,工艺能手,high,adult
南北朝,庶族,大族,尹,男,技艺,羯奴,匠人才能,high,adult
南北朝,庶族,大族,尹,女,技艺,月奴,工艺能手,high,adult
南北朝,庶族,大族,陆,男,技艺,吉安,匠人才能,high,adult
南北朝,庶族,大族,陆,女,技艺,霖女,工艺能手,high,adult
南北朝,寒门,常见姓,欧阳,男,技艺,仲宣,精巧工艺,medium,adult
南北朝,寒门,常见姓,欧阳,男,技艺,彦昭,匠人之心,high,adult
南北朝,寒门,常见姓,欧阳,女,巧慧,粲,心灵手巧,high,all
南北朝,寒门,常见姓,司马,男,技艺,朗,工艺精巧,high,adult
南北朝,寒门,常见姓,司马,女,巧慧,芙,织艺精巧,high,all
南北朝,寒门,常见姓,杨,男,文雅,文瑞,文运祥瑞,high,all
南北朝,寒门,常见姓,杨,男,武勇,振胡,威名震动,medium,adult
南北朝,寒门,常见姓,杨,女,美德,慧芳,淑德恬静,high,all
南北朝,寒门,常见姓,陈,男,文雅,文轩,文采轩昂,high,all
南北朝,寒门,常见姓,陈,男,武勇,建勋,建立勋业,medium,adult
南北朝,寒门,常见姓,陈,女,美德,淑雯,淑德如云,high,all
南北朝,寒门,常见姓,袁,男,文雅,文质,文质彬彬,high,all
南北朝,寒门,常见姓,袁,女,美德,淑媛,淑德媛女,high,all
南北朝,寒门,常见姓,江,男,文雅,文质,文质彬彬,high,all
南北朝,寒门,常见姓,江,女,美德,淑媛,淑德媛女,high,all
南北朝,寒门,常见姓,蒋,男,文雅,怀义,文质彬彬,high,all
南北朝,寒门,常见姓,蒋,女,美德,仲女,淑德媛女,high,all
南北朝,寒门,常见姓,钟,男,文雅,承恩,文质彬彬,high,all
南北朝,寒门,常见姓,钟,女,美德,茂姊,淑德媛女,high,all
南北朝,寒门,常见姓,曹,男,文雅,安民,文质彬彬,high,all
南北朝,寒门,常见姓,曹,男,文雅,孟公,文质彬彬,high,all
南北朝,寒门,常见姓,曹,女,美德,芷兰,淑德媛女,high,all
南北朝,寒门,常见姓,曹,女,美德,姒怡,淑德媛女,high,all
南北朝,寒门,常见姓,杜,男,文雅,长陵,文质彬彬,high,all
南北朝,寒门,常见姓,杜,女,美德,逸女,淑德媛女,high,all
南北朝,寒门,常见姓,程,男,文雅,伯符,文质彬彬,high,all
南北朝,寒门,常见姓,程,女,美德,妙安,淑德媛女,high,all
南北朝,寒门,常见姓,孟,男,文雅,仁安,文质彬彬,high,all
南北朝,寒门,常见姓,孟,女,美德,鸿姝,淑德媛女,high,all
南北朝,胡族,鲜卑复姓,慕容,男,勇武,霸,雄才霸业,high,adult
南北朝,胡族,鲜卑复姓,慕容,男,勇武,威远,威武勇猛,medium,adult
南北朝,胡族,鲜卑复姓,慕容,男,英武,建烈,建立烈业,medium,adult
南北朝,胡族,鲜卑复姓,慕容,女,美德,婉华,温婉华美,medium,all
南北朝,胡族,鲜卑复姓,宇文,男,勇武,成及,雄伟才能,high,adult
南北朝,胡族,鲜卑复姓,宇文,男,英武,萨保,建立勇名,medium,adult
南北朝,胡族,鲜卑复姓,宇文,女,美德,菩萨奴,温婉秀美,medium,all
南北朝,胡族,鲜卑复姓,拓跋,男,勇武,显微,雄壮威武,high,adult
南北朝,胡族,鲜卑复姓,拓跋,男,英武,诺如,建立功勋,medium,adult
南北朝,胡族,鲜卑复姓,拓跋,女,美德,佛奴,温婉柔和,medium,all
南北朝,胡族,鲜卑复姓,独孤,男,勇武,雄信,雄才杰出,high,adult
南北朝,胡族,鲜卑复姓,独孤,女,美德,孝女,温婉娴静,medium,all
南北朝,胡族,鲜卑复姓,贺拔,男,勇武,乐安,雄壮健康,medium,adult
南北朝,胡族,鲜卑复姓,贺拔,女,美德,敏茹,温婉如玉,medium,all
南北朝,胡族,鲜卑复姓,赫连,男,勇武,不破,雄壮健康,medium,adult
南北朝,胡族,鲜卑复姓,赫连,女,美德,安奴,温婉如玉,medium,all
南北朝,胡族,鲜卑复姓,叱干,男,勇武,忠,雄壮健康,medium,adult
南北朝,胡族,鲜卑复姓,叱干,女,美德,敏娘,温婉如玉,medium,all
南北朝,胡族,鲜卑复姓,源,男,勇武,曼殊,雄壮健康,medium,adult
南北朝,胡族,鲜卑复姓,源,女,美德,胡娘,温婉如玉,medium,all
南北朝,胡族,鲜卑复姓,乙弗,男,勇武,元宝,雄壮健康,medium,adult
南北朝,胡族,鲜卑复姓,乙弗,女,美德,奴,温婉如玉,medium,all
南北朝,胡族,鲜卑复姓,尉迟,男,勇武,敬业,雄壮健康,medium,adult
南北朝,胡族,鲜卑复姓,尉迟,女,美德,熙女,温婉如玉,medium,all
南北朝,胡族,鲜卑复姓,乞伏,男,勇武,光业,雄壮健康,medium,adult
南北朝,胡族,鲜卑复姓,乞伏,女,美德,佛女,温婉如玉,medium,all
南北朝,胡族,鲜卑复姓,侯莫陈,男,勇武,睿,雄壮健康,medium,adult
南北朝,胡族,鲜卑复姓,侯莫陈,女,美德,乞儿,温婉如玉,medium,all
南北朝,胡族,鲜卑复姓,阿史那,男,勇武,雄奴,雄壮健康,medium,adult
南北朝,胡族,鲜卑复姓,阿史那,女,美德,燕,温婉如玉,medium,all
南北朝,胡族,单姓,石,男,勇武,虎奴,虎般威猛,medium,adult
南北朝,胡族,单姓,石,女,美德,昭儿,温婉心地,medium,all
南北朝,平民,常见姓,赵,男,朴实,建民,建设民生,high,adult
南北朝,平民,常见姓,赵,男,朴实,新业,耕种农夫,high,adult
南北朝,平民,常见姓,赵,男,勤劳,勤生,勤劳生活,high,all
南北朝,平民,常见姓,赵,女,贤德,秀娘,秀美姑娘,high,all
南北朝,平民,常见姓,赵,女,贤德,巧妹,心灵手巧,high,all
南北朝,平民,常见姓,钱,男,朴实,富民,富足民生,medium,adult
南北朝,平民,常见姓,钱,男,勤劳,积财,勤劳致财,high,adult
南北朝,平民,常见姓,钱,女,贤德,巧云,巧手如云,high,all
南北朝,平民,常见姓,孙,男,朴实,农生,农业生活,high,adult
南北朝,平民,常见姓,孙,男,勤劳,勤佐,勤劳耕作,high,adult
南北朝,平民,常见姓,孙,女,贤德,秀芝,秀美如芝,high,all
南北朝,平民,常见姓,周,男,朴实,为生,民众生活,high,adult
南北朝,平民,常见姓,周,男,勤劳,奕可,耕作勤劳,high,adult
南北朝,平民,常见姓,周,女,贤德,汜娘,手艺精巧,high,all
南北朝,平民,常见姓,吴,男,朴实,胥元,农业夫子,high,adult
南北朝,平民,常见姓,吴,女,贤德,元娘,纺织女子,high,all
南北朝,平民,常见姓,郑,男,勤劳,必昶,勤劳民众,high,adult
南北朝,平民,常见姓,郑,女,贤德,秀兰,秀美如兰,high,all
南北朝,平民,常见姓,冯,男,朴实,孝生,耕作生活,high,adult
南北朝,平民,常见姓,冯,女,贤德,巧娘,心灵巧慧,high,all
南北朝,平民,常见姓,陈,男,朴实,仵夫,田间农夫,high,adult
南北朝,平民,常见姓,陈,女,贤德,秀梅,秀美如梅,high,all
南北朝,平民,常见姓,褚,男,勤劳,熙农,勤劳农夫,high,adult
南北朝,平民,常见姓,褚,女,贤德,织云,织锦如云,high,all
南北朝,平民,常见姓,卫,男,朴实,守田,守护田地,high,adult
南北朝,平民,常见姓,卫,女,贤德,秀竹,秀美如竹,high,all
南北朝,平民,常见姓,韩,男,技艺,启夫,精巧匠人,high,adult
南北朝,平民,常见姓,韩,女,巧慧,秀奴,秀美工艺,high,all
南北朝,平民,常见姓,魏,男,技艺,工师,工艺师傅,high,adult
南北朝,平民,常见姓,魏,女,巧慧,大娘,巧艺师傅,high,all
南北朝,平民,常见姓,薛,男,技艺,从义,工艺师傅,high,adult
南北朝,平民,常见姓,薛,女,巧慧,承弟,巧艺师傅,high,all
南北朝,平民,常见姓,高,男,技艺,匠能,匠艺能手,high,adult
南北朝,平民,常见姓,高,女,巧慧,织秀,织艺秀美,high,all
南北朝,平民,常见姓,林,男,技艺,妙喜,手艺精巧,high,adult
南北朝,平民,常见姓,林,女,巧慧,绣娘,刺绣姑娘,high,all
南北朝,平民,常见姓,罗,男,技艺,孝安,工艺精湛,high,adult
南北朝,平民,常见姓,罗,女,巧慧,巧绣,巧手刺绣,high,all
南北朝,平民,常见姓,宋,男,技艺,闵成,匠艺精通,high,adult
南北朝,平民,常见姓,宋,女,巧慧,织娘,织艺精美,high,all
南北朝,平民,常见姓,唐,男,技艺,承艺,精巧技艺,high,adult
南北朝,平民,常见姓,唐,女,巧慧,秀巧,秀美巧慧,high,all
南北朝,平民,常见姓,许,男,技艺,去疾,工艺技巧,high,adult
南北朝,平民,常见姓,许,女,巧慧,援悌,巧妙技艺,high,all
南北朝,平民,常见姓,马,男,朴实,驰夫,驰骋农夫,medium,adult
南北朝,平民,常见姓,马,女,贤德,驰娘,勤快姑娘,medium,all
南北朝,平民,常见姓,朱,男,朴实,虔道,农业勤劳,high,adult
南北朝,平民,常见姓,朱,女,贤德,秀姑,秀美勤劳,high,all
南北朝,平民,常见姓,胡,男,朴实,一朴,耕作朴实,high,adult
南北朝,平民,常见姓,胡,女,贤德,朴娘,朴实姑娘,high,all
南北朝,平民,常见姓,邓,男,朴实,敬文,耕作朴实,high,adult
南北朝,平民,常见姓,邓,女,贤德,淑娘,朴实姑娘,high,all
南北朝,平民,常见姓,郭,男,朴实,靖安,田间郭氏,high,adult
南北朝,平民,常见姓,郭,女,贤德,靖娘,田间姑娘,high,all
南北朝,平民,常见姓,何,男,朴实,农启,农夫何氏,high,adult
南北朝,平民,常见姓,何,女,贤德,妙娘,何氏姑娘,high,all
